2025-12-18 12:44:39 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: Acesso direto
2025-12-18 12:44:55 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 12:47:20 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 12:47:29 | IP: 191.58.100.197 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 12:50:27 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 12:50:43 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: Acesso direto
2025-12-18 12:51:47 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 12:55:18 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 12:55:20 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 12:55:47 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 12:55:56 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 12:56:37 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 13:01:41 | IP: 187.95.219.134 | Local: Desconhecido,  -  | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 13:01:52 | IP: 187.95.219.134 | Local: Desconhecido,  -  | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 13:03:01 | IP: 2804:6e60:11c:8601:fd9e:4b88:4138:1eb2 | Local: Maceió, Alagoas - Brazil | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 13:03:17 | IP: 2804:6e60:11c:8601:fd9e:4b88:4138:1eb2 | Local: Maceió, Alagoas - Brazil | Origem: desconhecido | Referer: https://personaltaf.com/
2025-12-18 13:22:42 | IP: 179.97.193.170 | Local: Siqueira Campos, Paraná - Brazil | Origem: desconhecido | Referer: http://personaltaf.com/?utm_medium=paid&utm_source=ig&utm_id=120239290413970045&utm_content=120239290414440045&utm_term=120239290414310045&utm_campaign=120239290413970045&fbclid=PAZXh0bgNhZW0BMABhZGlkAass_2vPSy1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafi-SVacKIhIL2yu1d_6trVgu3GFcDhwNq3JrB6bzoX1dUG5nV5H0kooNj_wg_aem_0ch1i1v2J3XZs5KjuwSM9A
2025-12-18 14:22:37 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: Acesso direto
2025-12-18 14:22:41 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: Acesso direto
2025-12-18 14:23:10 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: Acesso direto
2025-12-18 14:25:14 | IP: 187.95.219.134 | Local: Desconhecido | Origem: desconhecido | Referer: Acesso direto
